"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Furosemide|Plasma (Peripheral Venous Blood) [µmol/l]"
0,795,0.0007820393
0,798,0.0007767885
0,801,0.000771691
0,804,0.00076674257
0,807,0.00076193915
0,810,0.0007572769
0,813,0.0007527529
0,816,0.00074836315
0,819,0.000744104
0,822,0.0007399719
0,825,0.00073596346
0,828,0.0007320753
0,831,0.0007283042
0,834,0.00072464853
0,837,0.00072110444
0,840,0.0007176689
0,843,0.0007143392
0,846,0.0007111124
0,849,0.0007079858
0,852,0.00070495694
0,855,0.00070202415
0,858,0.00069918437
0,861,0.0006964353
0,864,0.0006937745
0,867,0.0006911998
0,870,0.00068870897
0,873,0.0006863
0,876,0.00068397104
0,879,0.0006817199
0,882,0.0006795447
0,885,0.00067744346
0,888,0.0006754144
0,891,0.0006734556
0,894,0.0006715655
0,897,0.00066974224
0,900,0.00066798425
0,903,0.00066628976
0,906,0.00066465733
0,909,0.00066308526
0,912,0.0006615721
0,915,0.00066011644
0,918,0.00065871683
0,921,0.00065737177
0,924,0.00065607997
0,927,0.0006548399
0,930,0.00065365044
0,933,0.0006525101
0,936,0.00065141794
0,939,0.0006503726
0,942,0.0006493728
0,945,0.0006484175
0,948,0.00064750545
0,951,0.0006466356
0,954,0.0006458067
0,957,0.00064501807
0,960,0.0006442684
0,963,0.00064355676
0,966,0.00064288214
0,969,0.0006422436
0,972,0.0006416401
0,975,0.0006410709
0,978,0.00064053497
0,981,0.00064003153
0,984,0.00063955964
0,987,0.0006391185
0,990,0.00063870725
0,993,0.0006383252
0,996,0.00063797145
0,999,0.0006376453
0,1002,0.00063734606
0,1005,0.0006370729
0,1008,0.00063682516
0,1011,0.0006366021
0,1014,0.00063640304
0,1017,0.0006362273
0,1020,0.0006360742
0,1023,0.0006359431
0,1026,0.00063583336
0,1029,0.0006357447
0,1032,0.00063567626
0,1035,0.0006356274
0,1038,0.0006355976
0,1041,0.0006355863
0,1044,0.0006355929
0,1047,0.00063561683
0,1050,0.0006356576
0,1053,0.00063571456
0,1056,0.0006357873
0,1059,0.0006358756
0,1062,0.00063597894
0,1065,0.0006360967
0,1068,0.00063622836
0,1071,0.0006363735
0,1074,0.0006365316
0,1077,0.00063670235
0,1080,0.0006368852
0,1083,0.0006370797
0,1086,0.0006372855
